Freq.	V(cold)	V(hot)
1.63839999999999e+05	(-6.50319486357944e-02dB,1.72259993501507e+02°)	(-1.24959255678570e-03dB,-9.37351434336168e-01°)
1.75599364101946e+05	(-7.45965449124852e-02dB,1.71709701024715e+02°)	(-1.42289853539020e-03dB,-1.00479423559105e+00°)
1.88202738482713e+05	(-8.55581092110990e-02dB,1.71121156906935e+02°)	(-1.62196632934697e-03dB,-1.07706254405291e+00°)
2.01710700682430e+05	(-9.81164605564067e-02dB,1.70491892263513e+02°)	(-1.85062393142848e-03dB,-1.15450279215310e+00°)
2.16188176101030e+05	(-1.12498688070915e-01dB,1.69819322125932e+02°)	(-2.11326767799064e-03dB,-1.23748605810257e+00°)
2.31704750059207e+05	(-1.28962467366499e-01dB,1.69100750009555e+02°)	(-2.41494648174065e-03dB,-1.32640980032160e+00°)
2.48335002257063e+05	(-1.47799654601508e-01dB,1.68333375321493e+02°)	(-2.76145850084942e-03dB,-1.42169970733605e+00°)
2.66158865238010e+05	(-1.69340140489330e-01dB,1.67514304216613e+02°)	(-3.15946206546307e-03dB,-1.52381166942536e+00°)
2.85262008580873e+05	(-1.93955929623638e-01dB,1.66640564584257e+02°)	(-3.61660294425809e-03dB,-1.63323387829522e+00°)
3.05736250666780e+05	(-2.22065388493441e-01dB,1.65709125915279e+02°)	(-4.14166033165874e-03dB,-1.75048906093006e+00°)
3.27679999999999e+05	(-2.54137577737150e-01dB,1.64716924849810e+02°)	(-4.74471427466285e-03dB,-1.87613685352516e+00°)
3.51198728203891e+05	(-2.90696549934305e-01dB,1.63660897228851e+02°)	(-5.43733764201262e-03dB,-2.01077632096771e+00°)
3.76405476965427e+05	(-3.32325453300009e-01dB,1.62538017451961e+02°)	(-6.23281617282624e-03dB,-2.15504862668254e+00°)
4.03421401364860e+05	(-3.79670234361170e-01dB,1.61345345859627e+02°)	(-7.14640063211091e-03dB,-2.30963985672287e+00°)
4.32376352202060e+05	(-4.33442680283006e-01dB,1.60080084689745e+02°)	(-8.19559565289657e-03dB,-2.47528400069808e+00°)
4.63409500118414e+05	(-4.94422486483299e-01dB,1.58739642877993e+02°)	(-9.40049046413459e-03dB,-2.65276609040169e+00°)
4.96670004514125e+05	(-5.63457981701080e-01dB,1.57321709556781e+02°)	(-1.07841373960758e-02dB,-2.84292549472624e+00°)
5.32317730476020e+05	(-6.41465096993291e-01dB,1.55824335535929e+02°)	(-1.23729848249199e-02dB,-3.04665936649962e+00°)
5.70524017161745e+05	(-7.29424135675683e-01dB,1.54246021308993e+02°)	(-1.41973720703455e-02dB,-3.26492623309229e+00°)
6.11472501333559e+05	(-8.28373898586333e-01dB,1.52585809228189e+02°)	(-1.62920946944683e-02dB,-3.49874971783979e+00°)
6.55359999999997e+05	(-9.39402755310845e-01dB,1.50843376460266e+02°)	(-1.86970496688014e-02dB,-3.74922237327551e+00°)
7.02397456407782e+05	(-1.06363633939219e+00dB,1.49019124242194e+02°)	(-2.14579709713513e-02dB,-4.01750959960758e+00°)
7.52810953930853e+05	(-1.20222169424207e+00dB,1.47114257906736e+02°)	(-2.46272673388890e-02dB,-4.30485361248676e+00°)
8.06842802729721e+05	(-1.35630791163566e+00dB,1.45130851292625e+02°)	(-2.82649751111908e-02dB,-4.61257741253111e+00°)
8.64752704404120e+05	(-1.52702358300803e+00dB,1.43071888672642e+02°)	(-3.24398403352654e-02dB,-4.94208869487173e+00°)
9.26819000236827e+05	(-1.71545171032668e+00dB,1.40941277416349e+02°)	(-3.72305455041356e-02dB,-5.29488361967640e+00°)
9.93340009028250e+05	(-1.92260306961784e+00dB,1.38743825419110e+02°)	(-4.27270974243551e-02dB,-5.67255034364921e+00°)
1.00000000000000e+06	(-1.94359758529058e+00dB,1.38528650130910e+02°)	(-4.32979784359916e-02dB,-5.71033502343334e+00°)
