Freq.	V(hot)-V(cold)
2.07936613467196e+03	(4.25446833439217e+01dB,1.78606943018231e+02°)
2.22860944203807e+03	(4.25443486209488e+01dB,1.78700312864701e+02°)
2.38856445833422e+03	(4.25440572140437e+01dB,1.78787444522008e+02°)
2.55999999999999e+03	(4.25438035221482e+01dB,1.78868755152377e+02°)
2.74374006409290e+03	(4.25435826681905e+01dB,1.78944634245692e+02°)
2.94066778879240e+03	(4.25433904056875e+01dB,1.79015445434155e+02°)
3.15172969816298e+03	(4.25432230373690e+01dB,1.79081528193416e+02°)
3.37794025157860e+03	(4.25430773442856e+01dB,1.79143199436335e+02°)
3.62038671967512e+03	(4.25429505240566e+01dB,1.79200755005409e+02°)
3.88023441026661e+03	(4.25428401370864e+01dB,1.79254471069690e+02°)
4.15873226934392e+03	(4.25427440597249e+01dB,1.79304605431851e+02°)
4.45721888407614e+03	(4.25426604434809e+01dB,1.79351398750773e+02°)
4.77712891666844e+03	(4.25425876795095e+01dB,1.79395075684840e+02°)
5.11999999999999e+03	(4.25425243676967e+01dB,1.79435845960839e+02°)
5.48748012818581e+03	(4.25424692897473e+01dB,1.79473905373136e+02°)
5.88133557758480e+03	(4.25424213857654e+01dB,1.79509436717555e+02°)
6.30345939632596e+03	(4.25423797338741e+01dB,1.79542610664113e+02°)
6.75588050315720e+03	(4.25423435324886e+01dB,1.79573586572587e+02°)
7.24077343935023e+03	(4.25423120848991e+01dB,1.79602513254590e+02°)
7.76046882053322e+03	(4.25422847858701e+01dB,1.79629529685674e+02°)
8.31746453868783e+03	(4.25422611099973e+01dB,1.79654765670745e+02°)
8.91443776815229e+03	(4.25422406016002e+01dB,1.79678342465865e+02°)
9.55425783333688e+03	(4.25422228659546e+01dB,1.79700373359350e+02°)
1.02400000000000e+04	(4.25422075616980e+01dB,1.79720964214871e+02°)
1.09749602563716e+04	(4.25421943942609e+01dB,1.79740213979126e+02°)
1.17626711551696e+04	(4.25421831101981e+01dB,1.79758215156453e+02°)
1.26069187926519e+04	(4.25421734923115e+01dB,1.79775054252632e+02°)
1.35117610063144e+04	(4.25421653554697e+01dB,1.79790812189976e+02°)
1.44815468787005e+04	(4.25421585430447e+01dB,1.79805564695672e+02°)
1.55209376410664e+04	(4.25421529238968e+01dB,1.79819382665209e+02°)
1.66349290773757e+04	(4.25421483898494e+01dB,1.79832332502633e+02°)
1.78288755363046e+04	(4.25421448536061e+01dB,1.79844476439210e+02°)
1.91085156666738e+04	(4.25421422470684e+01dB,1.79855872832047e+02°)
2.04799999999999e+04	(4.25421405200228e+01dB,1.79866576444048e+02°)
2.19499205127432e+04	(4.25421396391709e+01dB,1.79876638706557e+02°)
2.35253423103392e+04	(4.25421395874844e+01dB,1.79886107965905e+02°)
2.52138375853038e+04	(4.25421403638713e+01dB,1.79895029715025e+02°)
2.70235220126288e+04	(4.25421419831481e+01dB,1.79903446811226e+02°)
2.89630937574009e+04	(4.25421444763145e+01dB,1.79911399681108e+02°)
3.10418752821329e+04	(4.25421478911373e+01dB,1.79918926513590e+02°)
3.32698581547513e+04	(4.25421522930523e+01dB,1.79926063441895e+02°)
3.56577510726091e+04	(4.25421577664014e+01dB,1.79932844715315e+02°)
3.82170313333475e+04	(4.25421644160258e+01dB,1.79939302861498e+02°)
4.09599999999999e+04	(4.25421723692443e+01dB,1.79945468839933e+02°)
4.38998410254864e+04	(4.25421817782518e+01dB,1.79951372187251e+02°)
4.70506846206784e+04	(4.25421928229799e+01dB,1.79957041154892e+02°)
5.04276751706076e+04	(4.25422057144696e+01dB,1.79962502839616e+02°)
5.40470440252576e+04	(4.25422206988134e+01dB,1.79967783307264e+02°)
5.79261875148018e+04	(4.25422380617345e+01dB,1.79972907710089e+02°)
6.20837505642657e+04	(4.25422581338792e+01dB,1.79977900397883e+02°)
6.65397163095026e+04	(4.25422812969069e+01dB,1.79982785023043e+02°)
7.13155021452182e+04	(4.25423079904768e+01dB,1.79987584639557e+02°)
7.64340626666950e+04	(4.25423387202360e+01dB,1.79992321795810e+02°)
8.19199999999997e+04	(4.25423740669293e+01dB,1.79997018620901e+02°)
8.77996820509728e+04	(4.25424146967571e+01dB,-1.79998303096004e+02°)
9.41013692413567e+04	(4.25424613731212e+01dB,-1.79993621833978e+02°)
1.00855350341215e+05	(4.25425149699044e+01dB,-1.79988916277266e+02°)
1.08094088050515e+05	(4.25425764864333e+01dB,-1.79984165262112e+02°)
1.15852375029603e+05	(4.25426470642792e+01dB,-1.79979347735116e+02°)
1.24167501128531e+05	(4.25427280060410e+01dB,-1.79974442725182e+02°)
1.33079432619005e+05	(4.25428207962433e+01dB,-1.79969429331597e+02°)
1.42631004290436e+05	(4.25429271244541e+01dB,-1.79964286731377e+02°)
1.52868125333390e+05	(4.25430489106855e+01dB,-1.79958994209621e+02°)
1.63839999999999e+05	(4.25431883330704e+01dB,-1.79953531217383e+02°)
1.75599364101946e+05	(4.25433478577197e+01dB,-1.79947877462322e+02°)
1.88202738482713e+05	(4.25435302705284e+01dB,-1.79942013038262e+02°)
2.01710700682430e+05	(4.25437387105232e+01dB,-1.79935918600654e+02°)
2.16188176101030e+05	(4.25439767041103e+01dB,-1.79929575595756e+02°)
2.31704750059207e+05	(4.25442481992753e+01dB,-1.79922966552074e+02°)
2.48335002257063e+05	(4.25445575984086e+01dB,-1.79916075443083e+02°)
2.66158865238010e+05	(4.25449097879489e+01dB,-1.79908888130356e+02°)
2.85262008580873e+05	(4.25453101624733e+01dB,-1.79901392895674e+02°)
3.05736250666780e+05	(4.25457646401894e+01dB,-1.79893581069279e+02°)
3.27679999999999e+05	(4.25462796660378e+01dB,-1.79885447758731e+02°)
3.51198728203891e+05	(4.25468621978059e+01dB,-1.79876992678465e+02°)
3.76405476965427e+05	(4.25475196698561e+01dB,-1.79868221073661e+02°)
4.03421401364860e+05	(4.25482599283603e+01dB,-1.79859144722957e+02°)
4.32376352202060e+05	(4.25490911314566e+01dB,-1.79849782992541e+02°)
4.63409500118414e+05	(4.25500216076687e+01dB,-1.79840163899070e+02°)
4.96670004514125e+05	(4.25510596664994e+01dB,-1.79830325120924e+02°)
5.32317730476020e+05	(4.25522133565770e+01dB,-1.79820314877346e+02°)
5.70524017161745e+05	(4.25534901693793e+01dB,-1.79810192574751e+02°)
6.11472501333559e+05	(4.25548966906049e+01dB,-1.79800029101451e+02°)
6.55359999999997e+05	(4.25564382068186e+01dB,-1.79789906640170e+02°)
7.02397456407782e+05	(4.25581182819395e+01dB,-1.79779917866615e+02°)
7.52810953930853e+05	(4.25599383260476e+01dB,-1.79770164417129e+02°)
8.06842802729721e+05	(4.25618971870066e+01dB,-1.79760754543727e+02°)
8.64752704404120e+05	(4.25639908022815e+01dB,-1.79751799933219e+02°)
9.26819000236827e+05	(4.25662119525022e+01dB,-1.79743411747797e+02°)
9.93340009028250e+05	(4.25685501581153e+01dB,-1.79735696041599e+02°)
1.00000000000000e+06	(4.25687812793616e+01dB,-1.79734991406143e+02°)
