Freq.	V(n011)/I(unbalanced)
1.19747870461893e+00	(8.40705255263692e+01dB,1.23713696392811e+02°)
1.20580782769076e+00	(8.40289572694429e+01dB,1.23897296016067e+02°)
1.21419488439505e+00	(8.39875678713427e+01dB,1.24081377164550e+02°)
1.22264027769207e+00	(8.39463582641023e+01dB,1.24265933480110e+02°)
1.23114441334492e+00	(8.39053293696493e+01dB,1.24450958509396e+02°)
1.23970769993899e+00	(8.38644820995233e+01dB,1.24636445704548e+02°)
1.24833054890161e+00	(8.38238173545950e+01dB,1.24822388423942e+02°)
1.25701337452183e+00	(8.37833360247855e+01dB,1.25008779932962e+02°)
1.26575659397028e+00	(8.37430389887884e+01dB,1.25195613404828e+02°)
1.27456062731927e+00	(8.37029271137912e+01dB,1.25382881921460e+02°)
1.28342589756291e+00	(8.36630012552006e+01dB,1.25570578474388e+02°)
1.29235283063750e+00	(8.36232622563669e+01dB,1.25758695965696e+02°)
1.30134185544194e+00	(8.35837109483126e+01dB,1.25947227209021e+02°)
1.31039340385837e+00	(8.35443481494621e+01dB,1.26136164930585e+02°)
1.31950791077290e+00	(8.35051746653729e+01dB,1.26325501770272e+02°)
1.32868581409652e+00	(8.34661912884707e+01dB,1.26515230282747e+02°)
1.33792755478612e+00	(8.34273987977858e+01dB,1.26705342938615e+02°)
1.34723357686569e+00	(8.33887979586935e+01dB,1.26895832125628e+02°)
1.35660432744768e+00	(8.33503895226555e+01dB,1.27086690149922e+02°)
1.36604025675440e+00	(8.33121742269670e+01dB,1.27277909237308e+02°)
1.37554181813975e+00	(8.32741527945048e+01dB,1.27469481534591e+02°)
1.38510946811093e+00	(8.32363259334798e+01dB,1.27661399110938e+02°)
1.39474366635041e+00	(8.31986943371935e+01dB,1.27853653959286e+02°)
1.40444487573800e+00	(8.31612586837977e+01dB,1.28046237997780e+02°)
1.41421356237310e+00	(8.31240196360578e+01dB,1.28239143071263e+02°)
1.42405019559708e+00	(8.30869778411218e+01dB,1.28432360952792e+02°)
1.43395524801583e+00	(8.30501339302913e+01dB,1.28625883345201e+02°)
1.44392919552250e+00	(8.30134885187994e+01dB,1.28819701882697e+02°)
1.45397251732032e+00	(8.29770422055913e+01dB,1.29013808132493e+02°)
