Freq.	V(out)
6.72717132202986e+00	(9.99483364279401e+00dB,1.62912179870371e+01°)
6.77396249890036e+00	(9.99884111663493e+00dB,1.61832465096427e+01°)
6.82107913414380e+00	(1.00027969836134e+01dB,1.60759316362840e+01°)
6.86852349150217e+00	(1.00067018628719e+01dB,1.59692705075829e+01°)
6.91629785046307e+00	(1.00105563674884e+01dB,1.58632602546809e+01°)
6.96440450636914e+00	(1.00143611043339e+01dB,1.57578979989187e+01°)
7.01284577052843e+00	(1.00181166738159e+01dB,1.56531808539089e+01°)
7.06162397032539e+00	(1.00218236704206e+01dB,1.55491059238709e+01°)
7.11074144933271e+00	(1.00254826822646e+01dB,1.54456703062644e+01°)
7.16020056742393e+00	(1.00290942917218e+01dB,1.53428710903727e+01°)
7.21000370088680e+00	(1.00326590747367e+01dB,1.52407053592388e+01°)
7.26015324253744e+00	(1.00361776014205e+01dB,1.51391701897645e+01°)
7.31065160183536e+00	(1.00396504358619e+01dB,1.50382626527683e+01°)
7.36150120499916e+00	(1.00430781362803e+01dB,1.49379798134941e+01°)
7.41270449512313e+00	(1.00464612547760e+01dB,1.48383187323687e+01°)
7.46426393229462e+00	(1.00498003377317e+01dB,1.47392764657549e+01°)
7.51618199371226e+00	(1.00530959259073e+01dB,1.46408500651231e+01°)
7.56846117380493e+00	(1.00563485538972e+01dB,1.45430365789812e+01°)
7.62110398435167e+00	(1.00595587506846e+01dB,1.44458330524578e+01°)
7.67411295460228e+00	(1.00627270394165e+01dB,1.43492365279918e+01°)
7.72749063139894e+00	(1.00658539381096e+01dB,1.42532440447834e+01°)
7.78123957929846e+00	(1.00689399583888e+01dB,1.41578526414186e+01°)
7.83536238069559e+00	(1.00719856069421e+01dB,1.40630593536072e+01°)
7.88986163594705e+00	(1.00749913843649e+01dB,1.39688612164682e+01°)
7.94473996349647e+00	(1.00779577860238e+01dB,1.38752552641384e+01°)
8.00000000000018e+00	(1.00808853020441e+01dB,1.37822385299949e+01°)
8.05564440045393e+00	(1.00837744167092e+01dB,1.36898080475437e+01°)
8.11167583832042e+00	(1.00866256091948e+01dB,1.35979608500297e+01°)
8.16809700565773e+00	(1.00894393531858e+01dB,1.35066939718792e+01°)
8.22491061324872e+00	(1.00922161173473e+01dB,1.34160044478901e+01°)
8.28211939073121e+00	(1.00949563647158e+01dB,1.33258893140977e+01°)
8.33972608672916e+00	(1.00976605532880e+01dB,1.32363456081771e+01°)
8.39773346898473e+00	(1.01003291361056e+01dB,1.31473703693903e+01°)
8.45614432449124e+00	(1.01029625606050e+01dB,1.30589606395733e+01°)
8.51496145962708e+00	(1.01055612697311e+01dB,1.29711134625338e+01°)
8.57418770029054e+00	(1.01081257009129e+01dB,1.28838258848064e+01°)
8.63382589203562e+00	(1.01106562868883e+01dB,1.27970949562446e+01°)
8.69387890020867e+00	(1.01131534552141e+01dB,1.27109177299268e+01°)
8.75434961008612e+00	(1.01156176286270e+01dB,1.26252912622184e+01°)
