Freq.	V(out)
1.45397251732032e+00	(-5.41260847199023e+00dB,5.72322511035297e+01°)
1.46408569594563e+00	(-5.37565385569502e+00dB,5.69950476698891e+01°)
1.47426921729111e+00	(-5.33890911948621e+00dB,5.67578623879532e+01°)
1.48452357062906e+00	(-5.30237468285449e+00dB,5.65207020266593e+01°)
1.49484924863494e+00	(-5.26605094992491e+00dB,5.62835734235364e+01°)
1.50524674741107e+00	(-5.22993830852273e+00dB,5.60464834836109e+01°)
1.51571656651040e+00	(-5.19403713151850e+00dB,5.58094391798975e+01°)
1.52625920896057e+00	(-5.15834777471564e+00dB,5.55724475504508e+01°)
1.53687518128802e+00	(-5.12287057812839e+00dB,5.53355156952722e+01°)
1.54756499354240e+00	(-5.08760586634034e+00dB,5.50986507733997e+01°)
1.55832915932101e+00	(-5.05255394517873e+00dB,5.48618600040154e+01°)
1.56916819579351e+00	(-5.01771510589236e+00dB,5.46251506646251e+01°)
1.58008262372676e+00	(-4.98308962127634e+00dB,5.43885300850484e+01°)
1.59107296750985e+00	(-4.94867774804434e+00dB,5.41520056472941e+01°)
1.60213975517925e+00	(-4.91447972432607e+00dB,5.39155847891917e+01°)
1.61328351844426e+00	(-4.88049577239992e+00dB,5.36792749875954e+01°)
1.62450479271248e+00	(-4.84672609591526e+00dB,5.34430837759434e+01°)
1.63580411711557e+00	(-4.81317088083041e+00dB,5.32070187237014e+01°)
1.64718203453516e+00	(-4.77983029582889e+00dB,5.29710874472663e+01°)
1.65863909162889e+00	(-4.74670449102145e+00dB,5.27352976020305e+01°)
1.67017583885675e+00	(-4.71379359915255e+00dB,5.24996568791051e+01°)
1.68179283050744e+00	(-4.68109773429945e+00dB,5.22641730066310e+01°)
1.69349062472506e+00	(-4.64861699170035e+00dB,5.20288537425932e+01°)
1.70526978353592e+00	(-4.61635144938830e+00dB,5.17937068837806e+01°)
1.71713087287552e+00	(-4.58430116658069e+00dB,5.15587402471506e+01°)
1.72907446261574e+00	(-4.55246618339077e+00dB,5.13239616784290e+01°)
1.74110112659226e+00	(-4.52084652148126e+00dB,5.10893790519235e+01°)
1.75321144263208e+00	(-4.48944218493867e+00dB,5.08550002581274e+01°)
1.76540599258132e+00	(-4.45825315719478e+00dB,5.06208332061317e+01°)
1.77768536233315e+00	(-4.42727940475116e+00dB,5.03868858282353e+01°)
1.79005014185596e+00	(-4.39652087403689e+00dB,5.01531660684631e+01°)
1.80250092522167e+00	(-4.36597749373261e+00dB,4.99196818815299e+01°)
1.81503831063433e+00	(-4.33564917219198e+00dB,4.96864412347402e+01°)
1.82766290045881e+00	(-4.30553580015826e+00dB,4.94534521013485e+01°)
1.84037530124976e+00	(-4.27563724932994e+00dB,4.92207224637761e+01°)
1.85317612378075e+00	(-4.24595337214864e+00dB,4.89882603021205e+01°)
1.86606598307363e+00	(-4.21648400224614e+00dB,4.87560736015858e+01°)
1.87904549842804e+00	(-4.18722895476607e+00dB,4.85241703451032e+01°)
1.89211529345120e+00	(-4.15818802536200e+00dB,4.82925585102000e+01°)
1.90527599608789e+00	(-4.12936099135827e+00dB,4.80612460704891e+01°)
1.91852823865054e+00	(-4.10074761155741e+00dB,4.78302409907848e+01°)
1.93187265784970e+00	(-4.07234762560244e+00dB,4.75995512244361e+01°)
1.94530989482459e+00	(-4.04416075432322e+00dB,4.73691847115826e+01°)
