Freq.	V(out)
4.25748072981351e+00	(1.03740757708330e+01dB,2.49890029229708e+01°)
4.28709385014524e+00	(1.03830069543934e+01dB,2.48315912313268e+01°)
4.31691294601778e+00	(1.03918320818097e+01dB,2.46749880555017e+01°)
4.34693945010430e+00	(1.04005522140812e+01dB,2.45191924966463e+01°)
4.37717480504303e+00	(1.04091684063812e+01dB,2.43642035952638e+01°)
4.40762046350651e+00	(1.04176817077730e+01dB,2.42100203326476e+01°)
4.43827788827145e+00	(1.04260931613152e+01dB,2.40566416314836e+01°)
4.46914855228895e+00	(1.04344038038603e+01dB,2.39040663572402e+01°)
4.50023393875531e+00	(1.04426146661002e+01dB,2.37522933187663e+01°)
4.53153554118327e+00	(1.04507267723525e+01dB,2.36013212697526e+01°)
4.56305486347377e+00	(1.04587411407014e+01dB,2.34511489091883e+01°)
4.59479341998822e+00	(1.04666587826529e+01dB,2.33017748828054e+01°)
4.62675273562123e+00	(1.04744807033364e+01dB,2.31531977838437e+01°)
4.65893434587390e+00	(1.04822079012874e+01dB,2.30054161542060e+01°)
4.69133979692759e+00	(1.04898413684933e+01dB,2.28584284849793e+01°)
4.72397064571820e+00	(1.04973820902844e+01dB,2.27122332182104e+01°)
4.75682846001096e+00	(1.05048310452521e+01dB,2.25668287471235e+01°)
4.78991481847580e+00	(1.05121892052950e+01dB,2.24222134174179e+01°)
4.82323131076312e+00	(1.05194575355589e+01dB,2.22783855282190e+01°)
4.85677953758027e+00	(1.05266369943185e+01dB,2.21353433329521e+01°)
4.89056111076836e+00	(1.05337285330102e+01dB,2.19930850405061e+01°)
4.92457765337975e+00	(1.05407330961673e+01dB,2.18516088158120e+01°)
4.95883079975603e+00	(1.05476516214306e+01dB,2.17109127811442e+01°)
4.99332219560653e+00	(1.05544850394363e+01dB,2.15709950167526e+01°)
5.02805349808740e+00	(1.05612342738927e+01dB,2.14318535621057e+01°)
5.06302637588121e+00	(1.05679002415170e+01dB,2.12934864163224e+01°)
5.09824250927714e+00	(1.05744838519290e+01dB,2.11558915397228e+01°)
5.13370359025171e+00	(1.05809860077175e+01dB,2.10190668542723e+01°)
5.16941132255006e+00	(1.05874076044864e+01dB,2.08830102444802e+01°)
5.20536742176783e+00	(1.05937495306694e+01dB,2.07477195585122e+01°)
5.24157361543355e+00	(1.06000126676191e+01dB,2.06131926089852e+01°)
5.27803164309167e+00	(1.06061978896487e+01dB,2.04794271737099e+01°)
5.31474325638614e+00	(1.06123060639139e+01dB,2.03464209966983e+01°)
5.35171021914454e+00	(1.06183380504149e+01dB,2.02141717890964e+01°)
5.38893430746286e+00	(1.06242947020905e+01dB,2.00826772297342e+01°)
5.42641730979079e+00	(1.06301768647097e+01dB,1.99519349662297e+01°)
5.46416102701768e+00	(1.06359853768983e+01dB,1.98219426157735e+01°)
5.50216727255908e+00	(1.06417210702495e+01dB,1.96926977657225e+01°)
5.54043787244380e+00	(1.06473847690882e+01dB,1.95641979748284e+01°)
5.57897466540173e+00	(1.06529772907000e+01dB,1.94364407736749e+01°)
5.61777950295209e+00	(1.06584994452912e+01dB,1.93094236655329e+01°)
5.65685424949249e+00	(1.06639520358195e+01dB,1.91831441274330e+01°)
5.69620078238839e+00	(1.06693358582696e+01dB,1.90575996105048e+01°)
5.73582099206342e+00	(1.06746517014565e+01dB,1.89327875411093e+01°)
5.77571678209009e+00	(1.06799003472350e+01dB,1.88087053212276e+01°)
5.81589006928135e+00	(1.06850825702041e+01dB,1.86853503297486e+01°)
5.85634278378261e+00	(1.06901991381239e+01dB,1.85627199225569e+01°)
5.89707686916452e+00	(1.06952508115071e+01dB,1.84408114338732e+01°)
5.93809428251631e+00	(1.07002383440133e+01dB,1.83196221764899e+01°)
5.97939699453987e+00	(1.07051624822638e+01dB,1.81991494427317e+01°)
6.02098698964439e+00	(1.07100239658514e+01dB,1.80793905051272e+01°)
6.06286626604171e+00	(1.07148235274947e+01dB,1.79603426169922e+01°)
6.10503683584236e+00	(1.07195618928967e+01dB,1.78420030133794e+01°)
6.14750072515217e+00	(1.07242397808758e+01dB,1.77243689113488e+01°)
6.19025997416968e+00	(1.07288579034025e+01dB,1.76074375110121e+01°)
6.23331663728412e+00	(1.07334169656062e+01dB,1.74912059958185e+01°)
6.27667278317413e+00	(1.07379176656522e+01dB,1.73756715336620e+01°)
6.32033049490714e+00	(1.07423606950879e+01dB,1.72608312770077e+01°)
6.36429187003948e+00	(1.07467467385348e+01dB,1.71466823639181e+01°)
6.40855902071711e+00	(1.07510764739485e+01dB,1.70332219183879e+01°)
6.45313407377714e+00	(1.07553505725704e+01dB,1.69204470511399e+01°)
6.49801917085002e+00	(1.07595696988928e+01dB,1.68083548601941e+01°)
