Freq.	V(out)
3.20427951035853e+00	(-1.73387328165812e+00dB,3.21414812802626e+01°)
3.22656703688855e+00	(-1.71962215398171e+00dB,3.19510240538869e+01°)
3.24900958542498e+00	(-1.70552418518476e+00dB,3.17613482387764e+01°)
3.27160823423117e+00	(-1.69157818692072e+00dB,3.15724562225173e+01°)
3.29436406907034e+00	(-1.67778297033163e+00dB,3.13843502967821e+01°)
3.31727818325781e+00	(-1.66413734617686e+00dB,3.11970326574115e+01°)
3.34035167771352e+00	(-1.65064012502485e+00dB,3.10105054057069e+01°)
3.36358566101490e+00	(-1.63729011757877e+00dB,3.08247705490120e+01°)
3.38698124945015e+00	(-1.62408613484212e+00dB,3.06398300009759e+01°)
3.41053956707187e+00	(-1.61102698826849e+00dB,3.04556855818814e+01°)
3.43426174575106e+00	(-1.59811149009209e+00dB,3.02723390203506e+01°)
3.45814892523151e+00	(-1.58533845350643e+00dB,3.00897919530581e+01°)
3.48220225318454e+00	(-1.57270669286162e+00dB,2.99080459262492e+01°)
3.50642288526419e+00	(-1.56021502396244e+00dB,2.97271023958688e+01°)
3.53081198516267e+00	(-1.54786226401328e+00dB,2.95469627282879e+01°)
3.55537072466633e+00	(-1.53564723206618e+00dB,2.93676282015792e+01°)
3.58010028371194e+00	(-1.52356874906511e+00dB,2.91891000058785e+01°)
3.60500185044337e+00	(-1.51162563837891e+00dB,2.90113792449898e+01°)
3.63007662126869e+00	(-1.49981672534743e+00dB,2.88344669353840e+01°)
3.65532580091765e+00	(-1.48814083806172e+00dB,2.86583640093841e+01°)
3.68075060249955e+00	(-1.47659680724585e+00dB,2.84830713140322e+01°)
3.70635224756154e+00	(-1.46518346640741e+00dB,2.83085896130303e+01°)
3.73213196614728e+00	(-1.45389965231378e+00dB,2.81349195881655e+01°)
3.75809099685610e+00	(-1.44274420467099e+00dB,2.79620618379506e+01°)
3.78423058690244e+00	(-1.43171596672498e+00dB,2.77900168806240e+01°)
3.81055199217580e+00	(-1.42081378531211e+00dB,2.76187851549996e+01°)
3.83705647730111e+00	(-1.41003651085215e+00dB,2.74483670203766e+01°)
3.86374531569944e+00	(-1.39938299741737e+00dB,2.72787627570878e+01°)
3.89061978964920e+00	(-1.38885210362295e+00dB,2.71099725698679e+01°)
3.91768119034777e+00	(-1.37844269151017e+00dB,2.69419965854366e+01°)
3.94493081797350e+00	(-1.36815362783204e+00dB,2.67748348566150e+01°)
3.97236998174820e+00	(-1.35798378370187e+00dB,2.66084873611990e+01°)
4.00000000000006e+00	(-1.34793203465165e+00dB,2.64429540037595e+01°)
4.02782220022694e+00	(-1.33799726096334e+00dB,2.62782346164215e+01°)
4.05583791916018e+00	(-1.32817834768980e+00dB,2.61143289600299e+01°)
4.08404850282884e+00	(-1.31847418467048e+00dB,2.59512367248245e+01°)
4.11245530662433e+00	(-1.30888366692934e+00dB,2.57889575314165e+01°)
4.14105969536557e+00	(-1.29940569472045e+00dB,2.56274909328291e+01°)
4.16986304336455e+00	(-1.29003917314509e+00dB,2.54668364133904e+01°)
4.19886673449233e+00	(-1.28078301307938e+00dB,2.53069933920310e+01°)
4.22807216224559e+00	(-1.27163613060911e+00dB,2.51479612215562e+01°)
4.25748072981351e+00	(-1.26259744764878e+00dB,2.49897391912098e+01°)
4.28709385014524e+00	(-1.25366589119406e+00dB,2.48323265251994e+01°)
4.31691294601778e+00	(-1.24484039479945e+00dB,2.46757223873793e+01°)
4.34693945010430e+00	(-1.23611989703014e+00dB,2.45199258781506e+01°)
4.37717480504303e+00	(-1.22750334303179e+00dB,2.43649360389940e+01°)
4.40762046350651e+00	(-1.21898968355165e+00dB,2.42107518511275e+01°)
4.43827788827145e+00	(-1.21057787558302e+00dB,2.40573722378926e+01°)
4.46914855228895e+00	(-1.20226688210374e+00dB,2.39047960646798e+01°)
4.50023393875531e+00	(-1.19405567252419e+00dB,2.37530221407588e+01°)
4.53153554118327e+00	(-1.18594322249224e+00dB,2.36020492201645e+01°)
4.56305486347377e+00	(-1.17792851392233e+00dB,2.34518760021957e+01°)
4.59479341998822e+00	(-1.17001053525267e+00dB,2.33025011327068e+01°)
4.62675273562123e+00	(-1.16218828128445e+00dB,2.31539232053087e+01°)
4.65893434587390e+00	(-1.15446075355287e+00dB,2.30061407621899e+01°)
4.69133979692759e+00	(-1.14682696004824e+00dB,2.28591522948452e+01°)
4.72397064571820e+00	(-1.13928591533617e+00dB,2.27129562453654e+01°)
4.75682846001096e+00	(-1.13183664079470e+00dB,2.25675510071036e+01°)
4.78991481847580e+00	(-1.12447816459674e+00dB,2.24229349264858e+01°)
4.82323131076312e+00	(-1.11720952159464e+00dB,2.22791063026032e+01°)
4.85677953758027e+00	(-1.11002975337918e+00dB,2.21360633892269e+01°)
4.89056111076836e+00	(-1.10293790847033e+00dB,2.19938043952577e+01°)
4.92457765337975e+00	(-1.09593304248362e+00dB,2.18523274863557e+01°)
4.95883079975603e+00	(-1.08901421764108e+00dB,2.17116307847283e+01°)
4.99332219560653e+00	(-1.08218050311203e+00dB,2.15717123705795e+01°)
5.02805349808740e+00	(-1.07543097551608e+00dB,2.14325702841232e+01°)
5.06302637588121e+00	(-1.06876471784959e+00dB,2.12942025245484e+01°)
5.09824250927714e+00	(-1.06218082061774e+00dB,2.11566070525426e+01°)
5.13370359025171e+00	(-1.05567838111014e+00dB,2.10197817900240e+01°)
5.16941132255006e+00	(-1.04925650378460e+00dB,2.08837246219444e+01°)
5.20536742176783e+00	(-1.04291429998963e+00dB,2.07484333963965e+01°)
5.24157361543355e+00	(-1.03665088864007e+00dB,2.06139059267749e+01°)
5.27803164309167e+00	(-1.03046539521410e+00dB,2.04801399908306e+01°)
5.31474325638614e+00	(-1.02435695242898e+00dB,2.03471333323143e+01°)
5.35171021914454e+00	(-1.01832470060113e+00dB,2.02148836636913e+01°)
5.38893430746286e+00	(-1.01236778647188e+00dB,2.00833886630483e+01°)
5.42641730979079e+00	(-1.00648536435011e+00dB,1.99526459786038e+01°)
5.46416102701768e+00	(-1.00067659559595e+00dB,1.98226532276165e+01°)
