Freq.	V(cold)/I(cold)	V(hot)/I(hot)
1.90527599608789e+00	(7.95397120262312e+01dB,1.30413962653679e+02°)	(8.47088699010149e+01dB,1.50936690110557e+02°)
1.91852823865054e+00	(7.95066445087968e+01dB,1.30643339874448e+02°)	(8.46947387743523e+01dB,1.51104998372055e+02°)
1.93187265784970e+00	(7.94738347049040e+01dB,1.30872645991731e+02°)	(8.46807570145300e+01dB,1.51272685811649e+02°)
1.94530989482459e+00	(7.94412822007412e+01dB,1.31101867871588e+02°)	(8.46669235167583e+01dB,1.51439748993360e+02°)
1.95884059517387e+00	(7.94089865558593e+01dB,1.31330992453435e+02°)	(8.46532371743703e+01dB,1.51606184579066e+02°)
1.97246540898673e+00	(7.93769473034564e+01dB,1.31560006752713e+02°)	(8.46396968790631e+01dB,1.51771989328071e+02°)
1.98618499087409e+00	(7.93451639506690e+01dB,1.31788897863486e+02°)	(8.46263015211318e+01dB,1.51937160096636e+02°)
2.00000000000002e+00	(7.93136359788700e+01dB,1.32017652961011e+02°)	(8.46130499897039e+01dB,1.52101693837500e+02°)
2.01391110011345e+00	(7.92823628439730e+01dB,1.32246259304240e+02°)	(8.45999411729679e+01dB,1.52265587599354e+02°)
2.02791895958007e+00	(7.92513439767435e+01dB,1.32474704238276e+02°)	(8.45869739583998e+01dB,1.52428838526313e+02°)
2.04202425141440e+00	(7.92205787831155e+01dB,1.32702975196780e+02°)	(8.45741472329869e+01dB,1.52591443857348e+02°)
2.05622765331215e+00	(7.91900666445142e+01dB,1.32931059704317e+02°)	(8.45614598834475e+01dB,1.52753400925703e+02°)
2.07052984768277e+00	(7.91598069181843e+01dB,1.33158945378656e+02°)	(8.45489107964474e+01dB,1.52914707158290e+02°)
2.08493152168226e+00	(7.91297989375241e+01dB,1.33386619933013e+02°)	(8.45364988588120e+01dB,1.53075360075053e+02°)
2.09943336724615e+00	(7.91000420124241e+01dB,1.33614071178233e+02°)	(8.45242229577373e+01dB,1.53235357288323e+02°)
2.11403608112278e+00	(7.90705354296112e+01dB,1.33841287024928e+02°)	(8.45120819809958e+01dB,1.53394696502150e+02°)
2.12874036490674e+00	(7.90412784529973e+01dB,1.34068255485550e+02°)	(8.45000748171382e+01dB,1.53553375511606e+02°)
2.14354692507260e+00	(7.90122703240330e+01dB,1.34294964676411e+02°)	(8.44882003556934e+01dB,1.53711392202083e+02°)
2.15845647300887e+00	(7.89835102620648e+01dB,1.34521402819647e+02°)	(8.44764574873635e+01dB,1.53868744548562e+02°)
2.17346972505213e+00	(7.89549974646969e+01dB,1.34747558245124e+02°)	(8.44648451042152e+01dB,1.54025430614871e+02°)
2.18858740252150e+00	(7.89267311081573e+01dB,1.34973419392287e+02°)	(8.44533620998700e+01dB,1.54181448552927e+02°)
2.20381023175324e+00	(7.88987103476663e+01dB,1.35198974811949e+02°)	(8.44420073696863e+01dB,1.54336796601951e+02°)
2.21913894413571e+00	(7.88709343178101e+01dB,1.35424213168030e+02°)	(8.44307798109413e+01dB,1.54491473087684e+02°)
2.23457427614446e+00	(7.88434021329165e+01dB,1.35649123239228e+02°)	(8.44196783230087e+01dB,1.54645476421577e+02°)
2.25011696937764e+00	(7.88161128874338e+01dB,1.35873693920637e+02°)	(8.44087018075321e+01dB,1.54798805099970e+02°)
2.26576777059162e+00	(7.87890656563124e+01dB,1.36097914225309e+02°)	(8.43978491685941e+01dB,1.54951457703259e+02°)
2.28152743173687e+00	(7.87622594953900e+01dB,1.36321773285753e+02°)	(8.43871193128836e+01dB,1.55103432895049e+02°)
2.29739670999409e+00	(7.87356934417772e+01dB,1.36545260355379e+02°)	(8.43765111498574e+01dB,1.55254729421295e+02°)
2.31337636781060e+00	(7.87093665142475e+01dB,1.36768364809882e+02°)	(8.43660235918988e+01dB,1.55405346109432e+02°)
2.32946717293693e+00	(7.86832777136273e+01dB,1.36991076148567e+02°)	(8.43556555544737e+01dB,1.55555281867495e+02°)
